Frequency [MHz],|S0-2| [-],|S1-2| [-],|S2-2| [-],|S3-2| [-],Arg(S0-2) [rad],Arg(S1-2) [rad],Arg(S2-2) [rad],Arg(S3-2) [rad],Delay 2>0 [s],Delay 2>1 [s],Delay 2>2 [s],Delay 2>3 [s],|Z2| [Ohm],Arg(Z2) [rad]
2.312800e+03, 6.104976e-02, 4.664209e-02, 1.256391e-01, 8.574067e-01, 1.183317e+00, -1.364761e+00, -1.957997e+00, -3.926823e-01, 6.907531e-10, 5.160840e-10, 7.194035e-10, 4.611014e-10, 4.552867e+01, -2.321456e-01
2.316600e+03, 6.171035e-02, 4.688074e-02, 1.245699e-01, 8.574883e-01, 1.166825e+00, -1.377084e+00, -1.975174e+00, -4.036916e-01, 6.872941e-10, 5.185391e-10, 7.247273e-10, 4.611679e-10, 4.538566e+01, -2.285897e-01
2.320400e+03, 6.236644e-02, 4.711895e-02, 1.234916e-01, 8.575698e-01, 1.150415e+00, -1.389464e+00, -1.992478e+00, -4.147025e-01, 6.842276e-10, 5.209680e-10, 7.304708e-10, 4.613107e-10, 4.524632e+01, -2.249643e-01
2.324200e+03, 6.301776e-02, 4.735662e-02, 1.224029e-01, 8.576503e-01, 1.134078e+00, -1.401903e+00, -2.009918e+00, -4.257168e-01, 6.812582e-10, 5.233263e-10, 7.360779e-10, 4.614253e-10, 4.511071e+01, -2.212671e-01
2.328000e+03, 6.366425e-02, 4.759370e-02, 1.213062e-01, 8.577313e-01, 1.117812e+00, -1.414398e+00, -2.027493e+00, -4.367338e-01, 6.782689e-10, 5.256272e-10, 7.421615e-10, 4.614629e-10, 4.497886e+01, -2.175040e-01
2.331800e+03, 6.430578e-02, 4.783001e-02, 1.202000e-01, 8.578117e-01, 1.101618e+00, -1.426948e+00, -2.045213e+00, -4.477517e-01, 6.756136e-10, 5.279175e-10, 7.483829e-10, 4.616229e-10, 4.485082e+01, -2.136727e-01
2.335600e+03, 6.494224e-02, 4.806567e-02, 1.190847e-01, 8.578911e-01, 1.085487e+00, -1.439552e+00, -2.063081e+00, -4.587735e-01, 6.728874e-10, 5.301206e-10, 7.546325e-10, 4.617092e-10, 4.472664e+01, -2.097750e-01
2.339400e+03, 6.557343e-02, 4.830042e-02, 1.179617e-01, 8.579705e-01, 1.069421e+00, -1.452210e+00, -2.081099e+00, -4.697973e-01, 6.703781e-10, 5.323076e-10, 7.612138e-10, 4.617875e-10, 4.460636e+01, -2.058149e-01
2.343200e+03, 6.619935e-02, 4.853438e-02, 1.168305e-01, 8.580481e-01, 1.053415e+00, -1.464919e+00, -2.099274e+00, -4.808230e-01, 6.680342e-10, 5.344444e-10, 7.681266e-10, 4.619445e-10, 4.449004e+01, -2.017920e-01
2.347000e+03, 6.681976e-02, 4.876747e-02, 1.156912e-01, 8.581256e-01, 1.037465e+00, -1.477680e+00, -2.117614e+00, -4.918524e-01, 6.657113e-10, 5.365154e-10, 7.751042e-10, 4.620061e-10, 4.437771e+01, -1.977073e-01
2.350800e+03, 6.743459e-02, 4.899952e-02, 1.145447e-01, 8.582024e-01, 1.021570e+00, -1.490489e+00, -2.136120e+00, -5.028833e-01, 6.634785e-10, 5.385506e-10, 7.823708e-10, 4.620824e-10, 4.426940e+01, -1.935642e-01
2.354600e+03, 6.804361e-02, 4.923064e-02, 1.133913e-01, 8.582781e-01, 1.005729e+00, -1.503348e+00, -2.154800e+00, -5.139161e-01, 6.614297e-10, 5.405481e-10, 7.898499e-10, 4.621921e-10, 4.416517e+01, -1.893639e-01
2.358400e+03, 6.864690e-02, 4.946055e-02, 1.122310e-01, 8.583538e-01, 9.899365e-01, -1.516254e+00, -2.173659e+00, -5.249514e-01, 6.594408e-10, 5.424917e-10, 7.976432e-10, 4.623411e-10, 4.406507e+01, -1.851080e-01
2.362200e+03, 6.924429e-02, 4.968947e-02, 1.110644e-01, 8.584281e-01, 9.741917e-01, -1.529207e+00, -2.192703e+00, -5.359903e-01, 6.574691e-10, 5.443819e-10, 8.056766e-10, 4.623727e-10, 4.396911e+01, -1.807981e-01
2.366000e+03, 6.983554e-02, 4.991710e-02, 1.098917e-01, 8.585014e-01, 9.584938e-01, -1.542204e+00, -2.211940e+00, -5.470300e-01, 6.557172e-10, 5.462462e-10, 8.139955e-10, 4.625036e-10, 4.387736e+01, -1.764364e-01
2.369800e+03, 7.042065e-02, 5.014356e-02, 1.087136e-01, 8.585742e-01, 9.428379e-01, -1.555247e+00, -2.231375e+00, -5.580728e-01, 6.539680e-10, 5.480515e-10, 8.226237e-10, 4.626093e-10, 4.378983e+01, -1.720248e-01
2.373600e+03, 7.099956e-02, 5.036875e-02, 1.075302e-01, 8.586457e-01, 9.272237e-01, -1.568332e+00, -2.251016e+00, -5.691181e-01, 6.522859e-10, 5.498157e-10, 8.315743e-10, 4.626652e-10, 4.370656e+01, -1.675651e-01
2.377400e+03, 7.157194e-02, 5.059258e-02, 1.063419e-01, 8.587156e-01, 9.116496e-01, -1.581459e+00, -2.270871e+00, -5.801647e-01, 6.507196e-10, 5.515364e-10, 8.407569e-10, 4.627933e-10, 4.362760e+01, -1.630592e-01
2.381200e+03, 7.213799e-02, 5.081493e-02, 1.051494e-01, 8.587854e-01, 8.961130e-01, -1.594628e+00, -2.290945e+00, -5.912144e-01, 6.492292e-10, 5.532099e-10, 8.503684e-10, 4.628573e-10, 4.355298e+01, -1.585096e-01
2.385000e+03, 7.269734e-02, 5.103601e-02, 1.039528e-01, 8.588537e-01, 8.806119e-01, -1.607836e+00, -2.311248e+00, -6.022656e-01, 6.478466e-10, 5.548491e-10, 8.602857e-10, 4.629523e-10, 4.348273e+01, -1.539178e-01
2.388800e+03, 7.325005e-02, 5.125550e-02, 1.027529e-01, 8.589212e-01, 8.651439e-01, -1.621084e+00, -2.331788e+00, -6.133191e-01, 6.464409e-10, 5.564306e-10, 8.705734e-10, 4.630258e-10, 4.341688e+01, -1.492864e-01
2.392600e+03, 7.379596e-02, 5.147348e-02, 1.015499e-01, 8.589869e-01, 8.497094e-01, -1.634370e+00, -2.352574e+00, -6.243744e-01, 6.451797e-10, 5.579841e-10, 8.812451e-10, 4.631298e-10, 4.335546e+01, -1.446173e-01
2.396400e+03, 7.433488e-02, 5.168984e-02, 1.003445e-01, 8.590518e-01, 8.343050e-01, -1.647692e+00, -2.373615e+00, -6.354321e-01, 6.439141e-10, 5.594882e-10, 8.922525e-10, 4.632528e-10, 4.329849e+01, -1.399129e-01
2.400200e+03, 7.486693e-02, 5.190466e-02, 9.913715e-02, 8.591152e-01, 8.189308e-01, -1.661050e+00, -2.394919e+00, -6.464928e-01, 6.427958e-10, 5.609449e-10, 9.037293e-10, 4.632977e-10, 4.324603e+01, -1.351755e-01
2.404000e+03, 7.539175e-02, 5.211779e-02, 9.792829e-02, 8.591778e-01, 8.035834e-01, -1.674444e+00, -2.416496e+00, -6.575545e-01, 6.416790e-10, 5.623627e-10, 9.156211e-10, 4.633927e-10, 4.319808e+01, -1.304070e-01
2.407800e+03, 7.590943e-02, 5.232921e-02, 9.671872e-02, 8.592382e-01, 7.882626e-01, -1.687871e+00, -2.438358e+00, -6.686186e-01, 6.406414e-10, 5.637473e-10, 9.279229e-10, 4.634488e-10, 4.315466e+01, -1.256102e-01
